merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bready Bag Beige;-28%;Rp 2.088.000;None;Rp1.520.400
SAINT LAURENT;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Saint Laurent Classic Sac De Jour Nano Smooth Leather Black Ghw;-31%;Rp 38.650.000;None;Rp27.010.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Klare Crossbody In Signature Canvas With Rivets Light Khaki Multi;-22%;Rp 8.555.000;None;Rp6.741.000
MICHAEL KORS;None;None;Chantal Medium Logo Satchel;None;None;None;None
Bonia;None;None;Siria Monogram Small Satchel Bag Unbleached;-30%;Rp 6.200.000;Rp 4.340.000;Rp 4.340.000
Balenciaga;None;None;Balenciaga Hourglass Shiny Crocodile Embossed Chain Wallet in Pink;-5%;Rp 47.393.083;Rp 45.023.429;Rp 45.023.429
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Roy Nano Bag Sky Blue;-29%;Rp 1.845.000;None;Rp1.326.000
Gucci;None;None;GUCCI Signature GG Canvas Unisex Waist Belt Bag Beige 449174;-38%;Rp 34.936.000;Rp 22.005.000;Rp 22.005.000
MICHAEL KORS;None;None;SoHo Small Studded Quilted Patent Leather Shoulder Bag;-60%;Rp 9.279.000;Rp 3.711.600;Rp 3.711.600
SAINT LAURENT;None;None;Saint Laurent Lou Mini Crossbody Bag in Yellow;-5%;Rp 47.393.083;Rp 45.023.429;Rp 45.023.429
Coach;None;None;COACH蔻馳 Parker 26 teh gunung dengan kanvas dilapisi kulit keling dan kulit sapi kecil dengan gantungannya yang ringan;-21%;Rp 17.308.400;Rp 13.787.240;Rp 13.787.240
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Rona Bag Beige;-28%;Rp 1.975.000;None;Rp1.430.000
MICHAEL KORS;None;None;Sinclair Large Perforated Leather Tote Bag;-50%;Rp 7.849.000;Rp 3.924.500;Rp 3.924.500
Kate Spade;None;None;Spade Flower Coated Canvas Compact Wallet Parchment Multi;-15%;Rp 3.815.000;Rp 3.243.000;Rp 3.243.000
MICHAEL KORS;None;None;Hally Extrasmall Embellished Leather Crossbody Bag;-60%;Rp 7.249.000;Rp 2.899.600;Rp 2.899.600
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Toasti Bag Indi Pink;-30%;Rp 1.545.000;None;Rp1.086.000
MICHAEL KORS;None;None;Bedford Medium Faux Leather Tote Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
MICHAEL KORS;None;None;Valerie Medium Pebbled Leather Crossbody Bag;-50%;Rp 6.529.000;Rp 3.264.500;Rp 3.264.500
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Belt Bag;-5%;Rp 1.759.700;Rp 1.671.715;Rp 1.671.715
Guess;25% Cashback;Min. pembelian  Rp299.000.;Didi Society Satchel;-20%;Rp 2.878.800;Rp 2.303.040;Rp 2.303.040
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Hourglass Wallet on Chain Light Purple;-29%;Rp 24.820.000;None;Rp17.870.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Klare Crossbody In Signature Canvas With Rivets Khaki Multi;-29%;Rp 9.825.000;None;Rp6.995.000
MICHAEL KORS;None;None;Greenwich Medium Studded Saffiano Leather Shoulder Bag;-50%;Rp 10.089.000;Rp 5.044.500;Rp 5.044.500
BALLY;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Bally Beckie Crossbody Bag Leather Black;-30%;Rp 15.640.000;None;Rp10.990.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Toasti Bag All Beige;-30%;Rp 1.545.000;None;Rp1.086.000
Marc Jacobs;None;None;The Groove Leather Mini Messenger Peach Whip;-39%;Rp 7.345.000;Rp 4.489.000;Rp 4.489.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Morgan Saddle Bag In Colorblock Signature Canvas Khaki Multi;-39%;Rp 9.400.000;None;Rp5.770.000
MICHAEL KORS;None;None;Heather Extra-Small Leather Crossbody Bag;-50%;Rp 4.339.000;Rp 2.169.500;Rp 2.169.500
Coach;None;None;COACH蔻馳 Tabby 26 Button Clamshell Open and Close Cobbled Leather Portable Cross-body One Shoulder Bag Medium size women's;-39%;Rp 24.368.776;Rp 15.000.646;Rp 15.000.646
BALLY;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Bally Cleoh Bucket Bag Cream;-31%;Rp 11.880.000;None;Rp8.300.000
TORY BURCH;None;None;Emerson Mini Shopper Cardamom;-26%;Rp 5.250.000;Rp 3.900.000;Rp 3.900.000
MICHAEL KORS;None;None;Blaire Extra-Small Duffle Crossbody Bag;-50%;Rp 8.059.000;Rp 4.029.500;Rp 4.029.500
MICHAEL KORS;None;None;Chantal Extra-Small Messenger Bag;None;None;None;None
SAINT LAURENT;None;None;Saint Laurent Chain Wallet Black Ghw 19cm;-29%;Rp 27.520.000;Rp 19.680.000;Rp 19.680.000
Coach;None;None;Coach Katy Satchel In Signature Canvas 2558 Brown Black;-47%;Rp 16.500.000;Rp 8.752.500;Rp 8.752.500
Balenciaga;10% off;Tanpa min. pembelian , maks. potongan Rp2.000.000.;Balenciaga Le Cagole Classic XS Metallized Silver SHW;-40%;Rp 59.999.000;None;Rp36.299.000
TORY BURCH;3% Cashback;Tanpa min. pembelian.;Tory Burch Kira Chevron Small Flap Shoulder Bag Black Shw;-41%;Rp 10.940.000;Rp 6.560.000;Rp 6.560.000
MICHAEL KORS;None;None;Sullivan Small Saffiano Leather Top-Zip Tote Bag;None;None;None;None
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Quarts Bag Dolce Green;-25%;Rp 3.404.500;None;Rp2.573.600
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Pillow Tabby Shoulder Bag 26 With Ombre Petunia Multi;-27%;Rp 11.330.000;None;Rp8.351.000
Fendi;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Fendi Mini By The Way Top Handle Bag FF Canvas Fabric Dark Grey;-36%;Rp 23.760.000;None;Rp15.400.000
Marc Jacobs;None;None;Marc Jacobs Mini Grind Satchel Tote Bag M0016132 Loam Soil Multi;-42%;Rp 15.290.000;Rp 8.977.500;Rp 8.977.500
MICHAEL KORS;None;None;Jet Set Large Logo Crossbody Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen.J Laura Luce Black Bag;-30%;Rp 3.690.000;None;Rp2.617.500
Bonia;None;None;Monogram Satchel L;-20%;Rp 5.900.000;Rp 4.720.000;Rp 4.720.000
Marc Jacobs;None;None;Marc Jacobs Lanyard ID Holder M0016992 Black;-44%;Rp 4.290.000;Rp 2.430.000;Rp 2.430.000
Coach;None;None;COACH Willow 23 Spinner kunci dan tekan tombol bahu dekil sabuk kulit kerikil dipoles tas bahu bahu portabel ukuran kecil model wanita;-17%;Rp 14.614.500;Rp 12.204.535;Rp 12.204.535
SAINT LAURENT;None;None;Saint Laurent Monogram Clutch Bag in Black/Silver;-6%;Rp 23.086.331;Rp 21.932.014;Rp 21.932.014
MICHAEL KORS;None;None;Bedford Medium Logo Tote Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J BELLO COMFORT OLIVE KHAKI;-28%;Rp 2.130.000;None;Rp1.554.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Sunny Red;-31%;Rp 1.488.000;None;Rp1.040.400
MICHAEL KORS;None;None;Marilyn Large Satchel;-50%;Rp 9.379.000;Rp 4.689.500;Rp 4.689.500
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mollie Bucket Bag 22 Black;-39%;Rp 8.770.000;None;Rp5.424.000
MICHAEL KORS;None;None;Hamilton Medium Satchel;-30%;Rp 12.559.000;Rp 8.791.300;Rp 8.791.300
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Rico Mini EQ Grey;-32%;Rp 1.345.000;None;Rp926.000
MICHAEL KORS;None;None;Heather Large Leather Shoulder Bag;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Didi Society Satchel Bag;-10%;Rp 2.833.650;Rp 2.550.285;Rp 2.550.285
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Belt Bag;-5%;Rp 1.759.700;Rp 1.671.715;Rp 1.671.715
MARNI;None;None;Marni Tropical Micro Raffia and Leather Bag Black;-29%;Rp 11.430.000;Rp 8.180.000;Rp 8.180.000
MICHAEL KORS;None;None;Heather Extra-Small Leather Crossbody Bag;None;None;None;None
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bona Bag All Black;-28%;Rp 1.988.000;None;Rp1.440.400
SAINT LAURENT;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Saint Laurent Monogram In Grain De Poudre Embossed Leather Chain Wallet in Black/Gold;-6%;Rp 54.512.216;None;Rp51.666.605
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Le Cagole XS Bucket Bag Croco Embossed Rhinestones White;-37%;Rp 40.910.000;None;Rp25.830.000
TORY BURCH;None;None;Tory Burch Kira Chevron Chain Wallet Devon Sand Ghw;-44%;Rp 8.880.000;Rp 5.060.000;Rp 5.060.000
MICHAEL KORS;None;None;Blaire Extra-Small Logo Jacquard Duffel Crossbody Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
Kate Spade;None;None;Disney X Kate Spade New York Other Minnie Mouse Lanyard;-23%;Rp 3.000.000;Rp 2.320.000;Rp 2.320.000
LONGCHAMP;3% Cashback;Tanpa min. pembelian.;Longchamp Le Pliage Small Top Handle Bag Red;-37%;Rp 3.730.000;Rp 2.370.000;Rp 2.370.000
Prada;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Prada Triangel Logo Cleo Brushed Leather Shoulder Bag Black;-34%;Rp 48.040.000;None;Rp31.740.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Charron Bag + Kony Pocket - Lavender;-30%;Rp 1.645.000;None;Rp1.166.000
Balenciaga;None;None;Balenciaga Everyday S North-South Shoulder Tote Bag in Black;-6%;Rp 34.985.452;Rp 33.236.179;Rp 33.236.179
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Small Trifold Wallet In Colorblock Chalk Multi;-37%;Rp 4.100.000;None;Rp2.620.000
MICHAEL KORS;3% Cashback;Tanpa min. pembelian.;Michael Kors Hally Shoulder Bag Black;-38%;Rp 5.720.000;Rp 3.550.000;Rp 3.550.000
Prada;10% off;Tanpa min. pembelian , maks. potongan Rp2.000.000.;Prada 1NE051 Contenitore Maniglia Tessuto Hobo Quilted Nero;-38%;Rp 27.199.000;None;Rp17.027.100
MICHAEL KORS;None;None;Jet Set Item Large Zip Around Wallet Crossbody;-40%;Rp 7.839.000;Rp 4.703.400;Rp 4.703.400
Marc Jacobs;None;None;Marc Jacobs Leather Mini Tote Bag Wolf Grey;-32%;Rp 8.430.000;Rp 5.810.000;Rp 5.810.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Court Backpack In Signature Canvas Khaki Saddle 2;-37%;Rp 9.820.000;None;Rp6.194.000
A.p.c.;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;A.P.C Grace Mini Shoulder Bag Deep Maroon;-33%;Rp 10.200.000;None;Rp6.900.000
MICHAEL KORS;None;None;Saffiano Leather Continental Wallet;-50%;Rp 4.339.000;Rp 2.169.500;Rp 2.169.500
Bonia;None;None;Monogram Crossbody Bag;-20%;Rp 5.400.000;Rp 4.320.000;Rp 4.320.000
Celine;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Celine Teen Triomphe Bag in Shiny Calfskin Soft Yellow;-29%;Rp 65.870.000;None;Rp46.900.000
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Carly Saddle Bag - Black Croc;-24%;Rp 1.568.000;None;Rp1.199.520
Marc Jacobs;None;None;Marc Jacobs The Leather Micro Tote Bag Cotton Silver;-29%;Rp 6.770.000;Rp 4.840.000;Rp 4.840.000
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro SMALL PAISLEY Small Wallet in Red;-6%;Rp 12.814.439;None;Rp12.053.717
MICHAEL KORS;None;None;Jet Set Small Saffiano Leather Envelope Crossbody Bag;None;None;None;None
MICHAEL KORS;None;None;Bedford Medium Logo Tote Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mini Dempsey Bucket Bag In Signature Jacquard With Stripe And Coach Patch True Pink;-28%;Rp 6.240.000;None;Rp4.518.000
LONGCHAMP;None;None;Longchamp Le Pliage Green M Top Handle Bag Black;-34%;Rp 4.050.000;Rp 2.690.000;Rp 2.690.000
Christian Dior;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Christian Dior Lady D Small Cannage Lambskin Steel Gray;-29%;Rp 133.840.000;None;Rp95.500.000
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro MEDIUM CROWN ME PAISLEY Shoulder Bag in Red;-6%;Rp 42.257.137;None;Rp40.024.280
MICHAEL KORS;None;None;Reed Medium Bucket Messenger Bag;-30%;Rp 11.209.000;Rp 7.846.300;Rp 7.846.300
Furla;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Furla Miastella Tote Bag S Black;-32%;Rp 6.620.000;None;Rp4.540.000
Strathberry;None;None;EAST/WEST MINI - BI COLOUR SEAGRASS/BOTTLEGREEN INTERIOR;None;None;None;None
Bonia;None;None;Monogram Crossbody Bag;-20%;Rp 4.450.000;Rp 3.560.000;Rp 3.560.000
MICHAEL KORS;None;None;Jet Set Charm Large Logo Embossed Faux Leather Crossbody Bag;-50%;Rp 9.279.000;Rp 4.639.500;Rp 4.639.500
Guess;25% Cashback;Min. pembelian  Rp299.000.;Desideria Mini Flap Shoulder Bag;-20%;Rp 2.158.800;Rp 1.727.040;Rp 1.727.040
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Flap Crossbody Bag;-20%;Rp 2.428.650;Rp 1.942.920;Rp 1.942.920
Louis Vuitton;None;None;LOUIS VUITTON Louis Vuitton lady's new shoulder slung chain bag;-31%;Rp 88.724.400;Rp 61.492.965;Rp 61.492.965
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mini Klare Crossbody Taupe;-28%;Rp 7.120.000;None;Rp5.184.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Fino Sole Taupe;-26%;Rp 2.695.000;None;Rp2.006.000
TORY BURCH;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Tory Burch Fleming Small Convertible Shoulder Bag Black Shw;-33%;Rp 10.940.000;None;Rp7.330.000
Braun Buffel;None;None;TAS WANITA BRAUN BUFFEL SUPERSTAR SMALL SHOULDER BAG;-10%;Rp 10.099.000;Rp 9.089.100;Rp 9.089.100
Marc Jacobs;None;None;Marc Jacobs The Jacquard Mini Tote Bag Black;-34%;Rp 6.350.000;Rp 4.200.000;Rp 4.200.000
Coach;None;None;COACH蔻馳 Jamie 24 memasang tali bahu yang bisa dilepas, dan model anjing bertali bahu dengan bahu yang rapi;-42%;Rp 14.330.100;Rp 8.436.191;Rp 8.436.191
MICHAEL KORS;None;None;Chantal Large East West Crossbody Bag;None;None;None;None
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro LARGE PAISLEY JACQUARD Tote Bag in Red;-6%;Rp 21.306.547;None;Rp20.121.220
Braun Buffel;None;None;TAS WANITA BRAUN BUFFEL SUPERSTAR MEDIUM TOTE BAG;-10%;Rp 11.999.000;Rp 10.799.100;Rp 10.799.100
Bonia;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Croissant Crossbody Bag Red Glow;-31%;Rp 9.350.000;None;Rp6.512.500
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Klare Crossbody In Colorblock Ivory Multi;-29%;Rp 9.350.000;None;Rp6.655.000
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro PAISLEY Card Holder in Red;-7%;Rp 10.460.040;None;Rp9.817.038
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro SMALL PAISLEY LOVE Tote Bag in Red;-6%;Rp 37.680.552;None;Rp35.676.524
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro SMALL JACQUARD LOVE WITH APPLES Tote Bag in Navy Blue;-6%;Rp 37.680.552;None;Rp35.676.524
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro MEDIUM PAISLEY CROWN ME Shoulder Bag in Red;-6%;Rp 35.697.365;None;Rp33.792.497
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro LARGE JACQUARD  WITH APPLES Pouch Bag in Navy Blue;-6%;Rp 16.068.899;None;Rp15.145.454
LONGCHAMP;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Longchamp Amazone Mini Crossbody Bag Black;-32%;Rp 8.250.000;None;Rp5.610.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Roa Bag Mocha Brown;-25%;Rp 3.478.000;None;Rp2.632.400
MCM;None;None;Zip Around Wallet in Visetos Original;None;None;None;None
Braun Buffel;None;None;BRAUN BUFFEL RUE SMALL HOBO BAG;-10%;Rp 9.699.000;Rp 8.729.100;Rp 8.729.100
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro MEDIUM CROWN ME PAISLEY Tote Bag in Red;-6%;Rp 37.680.552;None;Rp35.676.524
MICHAEL KORS;None;None;Michael Kors Avril Small Logo Top Zip Satchel 35F1G4VM2B Brown;-48%;Rp 15.356.000;Rp 8.055.000;Rp 8.055.000
LONGCHAMP;None;None;Longchamp Le Pliage Green M Top Handle Bag Red;-29%;Rp 3.760.000;Rp 2.690.000;Rp 2.690.000
MLB;None;None;Basic Nylon New Hobo Bag NEW YORK YANKEES Black;-19%;Rp 2.655.000;Rp 2.156.000;Rp 2.156.000
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro LARGE PAISLEY Pouch Bag in Red;-6%;Rp 16.068.899;None;Rp15.145.454
Coach;None;None;Coach Kacey Satchel C6229 Black;-46%;Rp 17.270.000;Rp 9.405.000;Rp 9.405.000
Strathberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;CRESCENT WALLET GRAIN LEATHER TAN - VANILLA STITCH;-4%;Rp 3.608.000;None;Rp3.488.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Rico Mini EQ Sky Blue;-32%;Rp 1.345.000;None;Rp926.000
MICHAEL KORS;None;None;Michael Kors Avril Small Leather Top Zip Satchel 35F1G4VM2L Luggage;-54%;Rp 15.356.000;Rp 7.155.000;Rp 7.155.000
Etro;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Etro LARGE PAISLEY JACQUARD Tote Bag in Red;-6%;Rp 19.323.360;None;Rp18.237.192
LONGCHAMP;None;None;Longchamp Le Foulonné WOC Chain Wallet in Turtledove;-2%;Rp 9.204.021;Rp 9.019.941;Rp 9.019.941
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga Touch Puffy Clutch Bag in Black;-6%;Rp 45.308.194;None;Rp42.922.784
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J RICO MINI EQ ALLBLACK;-32%;Rp 1.345.000;None;Rp926.000
MICHAEL KORS;None;None;Jet Set Charm Small Pebbled Leather Crossbody Bag;-50%;Rp 6.089.000;Rp 3.044.500;Rp 3.044.500
Bonia;None;None;Monogram Tote Bag;-20%;Rp 5.400.000;Rp 4.320.000;Rp 4.320.000
Guess;25% Cashback;Min. pembelian  Rp299.000.;Corina Top Handle Flap Bag;-20%;Rp 2.698.650;Rp 2.158.920;Rp 2.158.920
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Izzy Slg Large Zip Around;None;None;None;None
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Morgan Shoulder Bag In Signature Chambray Denim Multi;-39%;Rp 10.450.000;None;Rp6.470.000
